instrument_name,strike,expiration_date,open_interest,option_type
BTC-27JUN25-120000-C,120000.0,2025-06-27,3192.1,call
BTC-27JUN25-300000-C,300000.0,2025-06-27,3124.5,call
BTC-27JUN25-200000-C,200000.0,2025-06-27,2880.0,call
BTC-25APR25-100000-C,100000.0,2025-04-25,2596.3,call
BTC-25APR25-120000-C,120000.0,2025-04-25,2422.7,call
BTC-4APR25-80000-P,80000.0,2025-04-04,2898.1,put
BTC-27JUN25-65000-P,65000.0,2025-06-27,2435.6,put
BTC-27JUN25-85000-P,85000.0,2025-06-27,2368.2,put
BTC-27JUN25-70000-P,70000.0,2025-06-27,2353.9,put
BTC-26DEC25-65000-P,65000.0,2025-12-26,2067.5,put
